time,symbol,side,entry_price,mark_price,position_amt,unrealized_pnl,roe_pct
2026-03-26 20:00:54,ARIAUSDT,多,0.278490,0.298230,107.0000,2.1122,21.26
2026-03-26 20:00:54,CFGUSDT,空,0.141300,0.137011,212.0000,0.9093,9.11
2026-03-26 20:00:54,SAHARAUSDT,空,0.027840,0.026040,1077.0000,1.9386,19.40
2026-03-26 20:00:54,ATHUSDT,空,0.007948,0.007302,3774.0000,2.4380,24.38
2026-03-26 20:00:54,RENDERUSDT,空,1.868000,1.741937,16.0000,2.0170,20.25
2026-03-26 20:00:54,ENAUSDT,空,0.106400,0.097900,281.0000,2.3885,23.97
2026-03-26 20:00:54,ESPORTSUSDT,空,0.324310,0.355887,92.0000,-2.9051,-29.21
2026-03-26 20:00:54,GASUSDT,多,1.588000,1.544500,18.8000,-0.8178,-8.22
2026-03-26 20:00:54,BRUSDT,多,0.146630,0.167632,204.0000,4.2845,42.97
2026-03-26 20:00:54,SIRENUSDT,空,2.265370,1.921641,13.0000,4.4685,45.52
2026-03-26 20:00:54,PROVEUSDT,空,0.292200,0.263900,102.6000,2.9036,29.06
2026-03-26 20:00:54,CYSUSDT,多,0.414000,0.331801,72.0000,-5.9183,-59.56
2026-03-26 20:00:54,TRIAUSDT,多,0.033900,0.029846,885.0000,-3.5878,-35.88
2026-03-26 20:00:54,NAORISUSDT,空,0.064925,0.061994,462.0000,1.3540,13.54
2026-03-26 20:00:54,ONTUSDT,多,0.061300,0.054600,489.3000,-3.2783,-32.79
2026-03-26 20:00:54,RIVERUSDT,多,20.731000,19.009406,1.4000,-2.4102,-24.91
2026-03-26 20:00:54,SIGNUSDT,多,0.038440,0.031933,779.0000,-5.0691,-50.78
2026-03-26 20:00:54,SUPERUSDT,空,0.131800,0.120200,227.0000,2.6332,26.40
2026-03-26 20:00:54,DYDXUSDT,空,0.088000,0.084313,338.9000,1.2494,12.57
2026-03-26 20:00:54,DUSKUSDT,多,0.115820,0.117179,258.0000,0.3506,3.52
2026-03-26 21:00:09,MONUSDT,空,0.026620,0.024549,1126.0000,2.3323,23.34
2026-03-26 21:00:09,NIGHTUSDT,多,0.044600,0.045150,672.0000,0.3696,3.70
2026-03-26 21:00:09,HUMAUSDT,多,0.019136,0.017036,1567.0000,-3.2910,-32.93
2026-03-26 21:00:09,MANTRAUSDT,空,0.013050,0.012346,2298.0000,1.6176,16.18
2026-03-26 21:00:09,ONDOUSDT,空,0.269600,0.257098,111.2000,1.3902,13.91
2026-03-26 21:00:09,PIPPINUSDT,多,0.049181,0.058500,609.0000,5.6756,56.85
2026-03-26 21:00:09,TRADOORUSDT,空,2.240000,2.419929,13.0000,-2.3391,-24.10
2026-03-26 21:00:09,ZECUSDT,多,232.080000,221.673718,0.1290,-1.3424,-13.45
2026-03-26 21:00:09,AXLUSDT,多,0.050100,0.047889,598.8000,-1.3241,-13.24
2026-03-26 21:00:09,币安人生USDT,多,0.048550,0.046724,617.0000,-1.1265,-11.28
2026-03-26 21:00:09,DOTUSDT,多,1.357000,1.319000,22.1000,-0.8398,-8.40
2026-03-26 21:00:09,ZROUSDT,多,2.144100,2.067700,13.9000,-1.0620,-10.69
2026-03-26 21:00:09,MUSDT,空,2.452700,2.093300,12.0000,4.3128,43.96
2026-03-26 21:00:09,ZKCUSDT,空,0.079470,0.072821,377.0000,2.5066,25.10
2026-03-26 21:00:09,RESOLVUSDT,多,0.044090,0.039500,680.0000,-3.1212,-31.23
2026-03-26 21:00:09,COLLECTUSDT,多,0.071870,0.058185,417.0000,-5.7065,-57.12
2026-03-26 21:00:09,BEATUSDT,空,0.663100,0.595400,45.0000,3.0465,30.63
2026-03-26 21:00:09,JCTUSDT,多,0.002696,0.003010,11128.0000,3.4897,34.90
2026-03-26 21:00:09,BSBUSDT,空,0.166580,0.157750,180.0000,1.5894,15.90
2026-03-26 21:00:09,KASUSDT,空,0.038630,0.036708,776.0000,1.4911,14.92
2026-03-26 21:00:09,ARIAUSDT,多,0.278490,0.288230,107.0000,1.0422,10.49
2026-03-26 21:00:09,CFGUSDT,空,0.141300,0.138493,212.0000,0.5950,5.96
2026-03-26 21:00:09,SAHARAUSDT,空,0.027840,0.026230,1077.0000,1.7340,17.35
2026-03-26 21:00:09,ATHUSDT,空,0.007948,0.007429,3774.0000,1.9601,19.60
2026-03-26 21:00:09,RENDERUSDT,空,1.868000,1.768000,16.0000,1.6000,16.06
2026-03-26 21:00:09,ENAUSDT,空,0.106400,0.097800,281.0000,2.4166,24.25
2026-03-26 21:00:09,ESPORTSUSDT,空,0.324310,0.357200,92.0000,-3.0259,-30.42
2026-03-26 21:00:09,GASUSDT,多,1.588000,1.547106,18.8000,-0.7688,-7.73
2026-03-26 21:00:09,BRUSDT,多,0.146630,0.179962,204.0000,6.7997,68.20
2026-03-26 21:00:09,SIRENUSDT,空,2.265370,1.970039,13.0000,3.8393,39.11
2026-03-26 21:00:09,PROVEUSDT,空,0.292200,0.263700,102.6000,2.9241,29.26
2026-03-26 21:00:09,CYSUSDT,多,0.414000,0.386447,72.0000,-1.9838,-19.97
2026-03-26 21:00:09,TRIAUSDT,多,0.033900,0.029389,885.0000,-3.9918,-39.92
2026-03-26 21:00:09,NAORISUSDT,空,0.064925,0.067460,462.0000,-1.1712,-11.71
2026-03-26 21:00:09,ONTUSDT,多,0.061300,0.054147,489.3000,-3.5000,-35.01
2026-03-26 21:00:09,RIVERUSDT,多,20.731000,18.943111,1.4000,-2.5030,-25.87
2026-03-26 21:00:09,SIGNUSDT,多,0.038440,0.031878,779.0000,-5.1118,-51.21
2026-03-26 21:00:09,SUPERUSDT,空,0.131800,0.119800,227.0000,2.7240,27.31
2026-03-26 21:00:09,DYDXUSDT,空,0.088000,0.085000,338.9000,1.0167,10.23
2026-03-26 21:00:09,DUSKUSDT,多,0.115820,0.117740,258.0000,0.4954,4.97
2026-03-26 22:00:26,MONUSDT,空,0.026620,0.024708,1126.0000,2.1532,21.55
2026-03-26 22:00:26,NIGHTUSDT,多,0.044600,0.045710,672.0000,0.7459,7.47
